Time,DNI,Temp,RH
23580,-14.6178961,6,37.92
23610,-12.97924679,7,35.42
23640,-6.695677125,9,30.85
23670,-7.507919724,10,28.85
23700,-9.611573061,11,26.76
23730,-9.506037516,11,26.75
23760,-10.4886374,12,24.96
23790,-9.446627163,12,24.95
23820,-4.825618101,12,24.91
23850,-3.75728348,12,24.9
23880,-3.417835054,12,24.97
23910,-2.845411142,11,26.65
23940,-7.85225574,11,32.51
23970,-19.91732196,9,37.15
24000,-63.71448189,7,44.38
24030,-148.0092889,6,47.52
24060,0,6,40.6
24090,0,6,43.49
24120,0,6,42.74
24150,0,5,45.8
24180,0,5,45.47
24210,0,4,48.76
24240,0,4,47.93
24270,0,3,47.94
24300,0,3,47.13
24330,0,2,50.57
24360,0,2,49.67
24390,0,1,53.32
24420,0,1,52.85
24450,0,1,56.78
24480,0,1,56.22
24510,0,0,56.22
24540,0,0,55.7
24570,0,0,59.87
24600,0,0,59.41
24630,0,0,59.41
24660,0,0,59.02
24690,0,0,59.02
24720,0,0,58.66
24750,0,0,58.68
24780,0,-1,58.43
24810,0,-1,58.45
24840,0,-1,58.31
24870,0,0,58.31
24900,-122.774684,1,58.78
24930,-75.14575888,2,54.74
24960,-19.84599627,4,47.86
24990,-0.228057927,5,44.64
25020,5.80780038,7,41.22
25050,7.192761113,8,38.5
25080,8.33107599,10,34.25
25110,7.440457487,10,32.03
25140,8.30580175,11,30.13
25170,8.419363686,11,30.11
25200,10.48247861,12,27.82
25230,12.61252926,12,27.81
25260,14.3756965,13,27.5
25290,17.66321119,13,27.49
25320,21.34216398,13,27.32
25350,433.459993,12,29.17
25380,28.38806228,12,35.05
25410,639.0850576,10,37.44
25440,185.9827372,9,40.9
25470,49.47408429,8,43.74
25500,0,8,39.82
25530,0,8,39.82
25560,0,8,40.01
25590,0,8,42.81
25620,0,8,43.98
25650,0,7,43.98
25680,0,7,43.32
25710,0,6,46.37
25740,0,6,46.53
25770,0,6,49.83
25800,0,6,50.15
25830,0,5,50.14
25860,0,5,50.25
25890,0,5,50.25
25920,0,5,50.2
25950,0,5,53.8
25980,0,5,53.02
26010,0,4,53.01
26040,0,4,52.17
26070,0,4,52.16
26100,0,4,51.83
26130,0,4,51.82
26160,0,4,51.97
26190,0,4,51.97
26220,0,4,51.93
26250,0,4,51.93
26280,0,4,51.51
26310,0,4,51.51
26340,74.42169436,5,53.69
26370,448.656257,5,50.09
26400,653.0706681,6,47.68
26430,279.7472683,7,44.54
26460,197.2952303,8,38.58
26490,291.4074363,9,38.58
26520,719.3886907,10,37.03
26550,852.4119012,10,34.63
26580,944.2408339,11,33.11
26610,494.358506,11,33.09
26640,400.4643723,12,31.15
26670,499.6800783,12,31.14
26700,141.5832725,13,30.94
26730,484.0876973,12,30.93
26760,153.1030856,12,30.61
26790,163.7610459,11,32.68
26820,172.6130499,11,34.39
26850,177.045824,9,39.26
26880,133.5764843,8,47.37
26910,50.04195226,7,54.26
26940,0,6,54.99
26970,0,5,58.93
27000,0,5,58.16
27030,0,4,58.16
27060,0,4,57.56
27090,0,4,57.55
27120,0,5,57.4
27150,0,5,57.4
27180,0,5,57.64
27210,0,4,57.64
27240,0,4,58.07
27270,0,4,58.06
27300,0,4,58.14
27330,0,4,62.34
27360,0,4,61.88
27390,0,3,61.88
27420,0,3,61.06
27450,0,3,65.5
27480,0,3,64.16
27510,0,2,64.15
27540,0,2,62.66
27570,0,1,67.27
27600,0,1,65.78
27630,0,1,70.67
27660,0,1,69.15
27690,0,0,74.35
27720,0,0,72.54
27750,0,1,67.5
27780,79.09187784,2,64.9
27810,453.7582924,3,60.46
27840,672.1424323,5,50.55
27870,118.8137917,6,47.18
27900,112.8415214,7,41.77
27930,105.6625588,8,39.04
27960,99.475314,9,37.03
27990,93.40476938,9,37.02
28020,84.19199489,10,35.14
28050,82.30990559,10,35.12
28080,76.45554674,11,35.64
28110,77.7544544,11,35.63
28140,76.79541177,11,35.98
28170,594.5142624,10,35.99
28200,80.86268648,10,36.29
28230,87.05499463,10,38.78
28260,81.81915197,10,40.87
28290,80.96009243,8,46.77
28320,390.0585825,7,55.52
28350,-26.35469175,6,59.48
28380,0,5,54.26
28410,0,4,58.16
28440,0,4,56.9
28470,0,3,61.02
28500,0,3,59.28
28530,0,3,63.62
28560,0,3,59.98
28590,0,2,60
28620,0,2,54.4
28650,0,1,58.41
28680,0,1,52.96
28710,0,1,56.89
28740,0,1,54.36
28770,0,0,58.43
28800,0,0,57.85
28830,0,0,57.87
28860,0,0,58.03
28890,0,0,58.04
28920,0,0,58.03
28950,0,0,58.03
28980,0,0,57.89
29010,0,0,57.9
29040,0,0,57.72
29070,0,0,57.74
29100,0,0,57.53
29130,0,0,57.56
29160,0,-1,57.35
29190,0,0,57.37
29220,-79.7409093,0,54.25
29250,-17.85165843,1,50.52
29280,32.36232602,3,44.86
29310,43.96727673,4,41.85
29340,47.44374006,6,40.62
29370,43.95587695,7,37.93
29400,37.58907832,8,36.52
29430,34.41741634,8,36.51
29460,28.15776137,9,34.42
29490,26.27209088,9,34.4
29520,22.45452513,9,32.04
29550,22.8341203,9,32.03
29580,17.01045601,10,31.53
29610,18.94104974,10,31.52
29640,18.6188036,10,30.9
29670,20.33920755,9,30.9
29700,16.00301177,9,30.69
29730,7.823337872,7,35.11
29760,-26.57833264,5,44.86
29790,-104.7614266,4,51.56
29820,0,3,53.07
29850,0,2,53.08
29880,0,2,50.33
29910,0,2,50.34
29940,0,2,48.01
29970,0,2,51.55
30000,0,2,49.58
30030,0,2,49.59
30060,0,2,48.7
30090,0,1,52.32
30120,0,1,52.59
30150,0,0,52.59
30180,0,0,52.88
30210,0,0,56.84
30240,0,0,56.86
30270,0,0,56.86
30300,0,0,56.82
30330,0,0,56.82
30360,0,0,56.64
30390,0,0,56.64
30420,0,0,56.34
30450,0,0,56.34
30480,0,0,56
30510,0,0,56
30540,0,0,55.63
30570,0,0,55.64
30600,0,0,55.25
30630,0,0,51.42
30660,-137.054589,1,48.28
30690,-74.18632899,2,44.99
30720,-18.2768738,4,42.07
30750,-2.796627766,5,39.24
30780,2.098895073,7,34.08
30810,0.285110792,8,31.83
30840,-4.271894839,9,29.65
30870,-7.551802642,9,27.71
30900,-14.86338019,10,25.14
30930,-16.75639158,10,25.13
30960,-22.54014308,11,22.35
30990,-23.08242495,11,22.34
31020,-21.77320444,12,20.92
31050,-21.63373099,12,20.92
31080,-26.63063256,12,19.74
31110,-27.38880824,11,21.09
31140,-35.83850686,11,21.81
31170,-48.36857514,8,26.67
31200,-87.3407737,6,38.72
31230,-168.2200592,4,41.5
31260,0,3,41.45
31290,0,3,44.47
31320,0,3,42.31
31350,0,2,42.32
31380,0,2,40.61
31410,0,2,43.6
31440,0,2,42.55
31470,0,1,42.55
31500,0,1,42.62
31530,0,1,45.78
31560,0,1,46.61
31590,0,0,46.61
31620,0,0,47.37
31650,0,0,50.91
31680,0,0,51.46
31710,0,0,51.46
31740,0,0,51.63
31770,0,0,51.61
31800,0,0,51.22
31830,0,0,51.2
31860,0,-1,50.53
31890,0,-1,50.52
31920,0,-1,49.74
31950,0,-1,49.74
31980,0,-1,48.96
32010,0,-1,48.96
32040,0,-1,48.34
32070,0,0,44.97
32100,-149.8290083,1,45.03
32130,-91.2591992,3,41.94
32160,-35.78264879,5,34.48
32190,-17.48239302,6,32.17
32220,-9.196065933,7,27.81
32250,-8.35205011,8,25.98
32280,16.89050386,10,22.3
32310,14.49546811,11,20.87
32340,11.127067,12,19.93
32370,10.22302386,12,19.92
32400,7.470119791,13,20.04
32430,8.003356367,13,20.03
32460,-2.557127069,14,21.08
32490,-1.211799209,14,21.07
32520,-1.887592289,14,21.98
32550,-1.131400233,13,23.45
