#1	
"double Cosine(6247, 2)"	
689.5	0.761635
690	0.737838
690.5	0.750061
691	0.793397
691.5	0.851895
692	0.910992
692.5	0.960228
693	0
693.5	0
694	0
694.5	0
695	0
695.5	0
696	0
696.5	0
697	0
697.5	0
698	0
698.5	0
699	0
699.5	0.973713
700	0.930778
700.5	0.874905
701	0.814808
701.5	0.765625
702	0.7422
702.5	0.754685
703	0
703.5	0.855202
704	0
704.5	0.967536
705	1
705.5	1
706	0
706.5	0
707	0
707.5	0
708	0
708.5	0
709	0
709.5	0
710	0
710.5	0
711	0
711.5	0.974269
712	0.931792
712.5	0.876494
713	0.817274
713.5	0.769296
714	0.746572
714.5	0.758701
715	0.800386
715.5	0.857263
716	0.91486
716.5	0.96266
717	1
717.5	1
718	1
718.5	0
719	0
719.5	0
720	0
720.5	0
721	0
721.5	0
722	0
722.5	0
723	0
723.5	0.975383
724	0.933666
724.5	0.879174
725	0.821075
725.5	0.773277
726	0.750929
726.5	0.763064
727	0.80435
727.5	0.86055
728	0.917346
728.5	0.964255
729	1
729.5	1
730	1
730.5	0
731	0
731.5	0
732	0
732.5	0
733	0
733.5	0
734	0
734.5	0
735	0
735.5	0.976474
736	0.935519
736.5	0.881776
737	0.824419
737.5	0.777251
738	0.755281
738.5	0.76742
739	0.808305
739.5	0.863826
740	0.919815
740.5	0.965829
741	1
741.5	1
742	1
742.5	0
743	0
743.5	0
744	0
744.5	0
745	0
745.5	0
746	0
746.5	0
747	0
747.5	0
748	0.937353
748.5	0.884321
749	0.827372
749.5	0.781215
750	0.759626
750.5	0.771769
751	0.81225
751.5	0.867088
752	0.922265
752.5	0.967379
753	1
753.5	1
754	1
754.5	0
755	0
755.5	0
756	0
756.5	0
757	0
757.5	0
758	0
758.5	0
759	0
759.5	0.978586
760	0.939165
760.5	0.88693
761	0.831068
761.5	0.785169
762	0.763961
762.5	0.776107
763	0.816182
763.5	0.870333
764	0.924695
764.5	0.968903
765	1
765.5	1
766	1
766.5	0
767	0
767.5	0
768	0
768.5	0
769	0
769.5	0
770	0
770.5	0
771	0
771.5	0.979607
772	0.940956
772.5	0.88948
773	0.834371
773.5	0.789111
774	0.768285
774.5	0.780432
775	0.820098
775.5	0.87356
776	0.927103
776.5	0.970401
777	1
777.5	1
778	1
778.5	0
779	0
779.5	0
780	0
780.5	0
781	0
781.5	0
782	0
782.5	0
783	0
783.5	0.980604
784	0.942827
784.5	0.891969
785	0.837207
785.5	0.79304
786	0.772595
786.5	0
787	0.823997
787.5	0.876767
788	0.929486
788.5	0
789	0
789.5	0
790	0
790.5	0
791	0
791.5	0
792	0
792.5	0
793	0
793.5	0
794	0
794.5	0
795	0
795.5	0.981577
796	0.944529
796.5	0.894526
797	0.840928
797.5	0.796953
798	0.77689
798.5	0.789036
799	0.827876
799.5	0.879952
800	0.931844
800.5	0.973313
801	1
801.5	1
802	1
802.5	0
803	0
803.5	0
804	0
804.5	0
805	0
805.5	0
806	0
806.5	0
807	0
807.5	0.982525
808	0.946288
808.5	0.897009
809	0.84418
809.5	0.80085
810	0.781168
810.5	0.793309
811	0.831732
811.5	0.883112
812	0.934175
812.5	0.974725
813	1
813.5	1
814	1
814.5	0
815	0
815.5	0
816	0
816.5	0
817	0
817.5	0
818	0
818.5	0
819	0
819.5	0.983449
820	0.947897
820.5	0.899483
821	0.847413
821.5	0.804728
822	0.785427
822.5	0.797561
823	0.835565
823.5	0.886245
824	0.936476
824.5	0.976105
825	1
825.5	1
826	1
826.5	0
827	0
827.5	0
828	0
828.5	0
829	0
829.5	0
830	0
830.5	0
831	0
831.5	0.984349
832	0.94966
832.5	0.901929
833	0.850626
833.5	0.808588
834	0.789665
834.5	0.80179
835	0.839371
835.5	0.889351
836	0.938747
836.5	0.977452
837	1
837.5	1
838	1
838.5	0
839	0
839.5	0
840	0
840.5	0
841	0
841.5	0
842	0
842.5	0
843	0
843.5	0.985224
844	0.95131
844.5	0.904355
845	0.853817
845.5	0.812426
846	0.79388
846.5	0.805992
847	0.843148
847.5	0.892427
848	0.940987
848.5	0.978766
849	1
849.5	1
850	1
850.5	0
851	0
851.5	0
852	0
852.5	0
853	0
853.5	0
854	0
854.5	0
855	0
855.5	0.986074
856	0.95295
856.5	0.906733
857	0.856986
857.5	0.816241
858	0.798071
858.5	0.810167
859	0.846896
859.5	0.895471
860	0.943193
860.5	0.980046
861	1
861.5	1
862	1
862.5	0
863	0
863.5	0
864	0
864.5	0
865	0
865.5	0
866	0
866.5	0
867	0
867.5	0.986899
868	0.95455
868.5	0.909113
869	0.860131
869.5	0.820033
870	0.802236
870.5	0.814313
871	0.850611
871.5	0.898482
872	0.945365
872.5	0.98129
873	1
873.5	1
874	0
874.5	0
875	0
875.5	0
876	0
876.5	0
877	0
877.5	0
878	0
878.5	0
879	0
879.5	0.987699
880	0
880.5	0.911468
881	0.862846
881.5	0.823799
882	0.804595
882.5	0.818427
