Time,RAVEN_sample_ID,Temp_original,Temp_fourier,Temp_nofourier,Temp_gaussianed,RH_original,RH_fourier,RH_nofourier,RH_gaussianed
389250.0,0,25.0,19.6110895647,5.3889104353,1.50032996732,17.86,36.5590877983,-18.6990877983,-1.51952792407
389280.0,0,27.0,20.7586952774,6.24130472259,1.74271043485,15.24,33.9504370224,-18.7104370224,-1.52058871558
389310.0,0,28.0,21.9259168791,6.07408312094,1.68921180318,14.39,31.3175420542,-16.9275420542,-1.36675465319
389340.0,0,30.0,23.0740688375,6.92593116254,1.95120268019,12.28,28.7556168112,-16.4756168112,-1.32452411065
389370.0,0,31.0,24.1641613132,6.83583868677,1.92541456068,12.27,26.3579622415,-14.0879622415,-1.0856625127
389400.0,0,32.0,25.1588784725,6.84112152749,1.92689173377,11.51,24.2110005049,-12.7010005049,-0.944592941756
389430.0,0,32.0,26.0244820101,5.97551798995,1.65851541583,11.51,22.3897051449,-10.8797051449,-0.774962094329
389460.0,0,33.0,26.7325211104,6.26747888964,1.7512577987,10.92,20.9537161181,-10.0337161181,-0.691659026582
389490.0,0,33.0,27.2612424041,5.73875759585,1.59748948882,10.91,19.9443835074,-9.03438350739,-0.588848986317
389520.0,0,33.0,27.5966128894,5.40338711063,1.50398730845,10.39,19.3829224389,-8.99292243892,-0.584684439426
389550.0,0,33.0,27.7328939735,5.26710602652,1.46614539675,10.39,19.2697883066,-8.87978830657,-0.573371818495
389580.0,0,33.0,27.672734061,5.32726593901,1.48394368816,10.43,19.5853008381,-9.15530083811,-0.60105341767
389610.0,0,33.0,27.4267784858,5.5732215142,1.54880676548,10.42,20.2914632653,-9.87146326535,-0.674589909323
389640.0,0,33.0,27.0128269579,5.98717304214,1.66206421193,10.56,21.3348444413,-10.7748444413,-0.765808768674
389670.0,0,32.0,26.4545979458,5.54540205418,1.54098278187,11.16,22.6503224747,-11.4903224747,-0.827949597594
389700.0,0,32.0,25.7801845864,6.21981541356,1.73578691724,11.41,24.1654329937,-12.7554329937,-0.949950728784
389730.0,0,31.0,25.0203061084,5.97969389158,1.65978451577,12.06,25.805027226,-13.745027226,-1.05007909489
389760.0,0,31.0,24.2064710909,6.79352890913,1.91373292384,13.13,27.4959272276,-14.3659272276,-1.11467956588
389790.0,0,28.0,23.3691733298,4.63082667016,1.27880816473,14.73,29.171268958,-14.441268958,-1.12250179736
389820.0,0,26.0,22.5362373849,3.46376261506,0.91697671463,17.51,30.7742482148,-13.2642482148,-1.00084524853
389850.0,0,25.0,21.7314192987,3.26858070125,0.862672237949,18.57,32.261027981,-13.691027981,-1.04459638078
389880.0,0,24.0,20.9733493374,3.02665066263,0.798593896036,20.29,33.6026255055,-13.3126255055,-1.00580776094
389910.0,0,23.0,20.2748791834,2.72512081655,0.717838612242,21.54,34.7856692954,-13.2456692954,-0.998945972462
389940.0,0,23.0,19.6428675054,3.35713249455,0.88564021316,22.18,35.8119952281,-13.6319952281,-1.03863830373
389970.0,0,22.0,19.0784071893,2.92159281068,0.770058171441,23.55,36.6971317552,-13.1471317552,-0.988932366201
390000.0,0,22.0,18.5774668498,3.42253315021,0.904754882176,24.18,37.4678011535,-13.2878011535,-1.00325820813
390030.0,0,21.0,18.1318906402,2.8681093598,0.755589399285,25.68,38.1586316962,-12.4786316962,-0.922980987869
390060.0,0,21.0,17.7306758062,3.26932419378,0.862861770351,25.78,38.808329839,-13.028329839,-0.976989745558
390090.0,0,20.0,17.3614285569,2.63857144312,0.695925245476,27.4,39.4555983348,-12.0555983348,-0.882392042212
390120.0,0,20.0,17.0118869426,2.98811305736,0.788107111341,26.63,40.1351030919,-13.5051030919,-1.02580229061
390150.0,0,20.0,16.6713953384,3.32860466159,0.87807488097,28.31,40.8737874392,-12.5637874392,-0.931205846325
390180.0,0,20.0,16.3322191015,3.66778089854,0.977566496328,26.63,41.6878075474,-15.0578075474,-1.18698395653
390210.0,0,19.0,15.990599727,3.00940027296,0.793888958929,26.63,42.5803187992,-15.9503187992,-1.27457867408
390240.0,0,19.0,15.6474695429,3.35253045706,0.884307362665,24.48,43.5402829281,-19.0602829281,-1.55377531701
390270.0,0,19.0,15.3087693751,3.6912306249,0.984586992541,26.05,44.5423938758,-18.4923938758,-1.50050073884
390300.0,0,19.0,14.9853409961,4.01465900392,1.08247734494,23.72,45.5481414853,-21.8281414853,-1.82452885053
390330.0,0,19.0,14.692396582,4.30760341801,1.17211269211,23.72,46.5079517753,-22.7879517753,-1.90848928183
390360.0,0,19.0,14.4485977518,4.55140224821,1.25617082069,20.6,47.3642661496,-26.7642661496,-2.27289823341
390390.0,0,19.0,14.2748049538,4.72519504623,1.30658662458,20.59,48.0553547431,-27.4653547431,-2.34057251973
390420.0,0,19.0,14.1925820471,4.80741795287,1.33122519794,19.8,48.5196058283,-28.7196058283,-2.44832299543
390450.0,0,19.0,14.2225592351,4.77744076485,1.32220617241,19.8,48.6999974793,-28.8999974793,-2.46369613834
390480.0,0,20.0,14.3827687624,5.6172312376,1.56139107396,19.72,48.5484420181,-28.8284420181,-2.45752846903
390510.0,0,19.0,14.6870712004,4.31292879965,1.17374625552,19.73,48.0296992627,-28.2996992627,-2.41581412974
390540.0,0,19.0,15.1437854512,3.85621454885,1.03399775205,20.25,47.1245809446,-26.8745809446,-2.28307653609
390570.0,0,19.0,15.754623096,3.24537690399,0.856772573589,20.25,45.8322141185,-25.5822141185,-2.15899491384
390600.0,0,20.0,16.5140082285,3.48599177154,0.923623361939,20.69,44.1711929014,-23.4811929014,-1.9724486304
390630.0,0,22.0,17.4088387519,4.59116124807,1.26742164214,19.47,42.1795213059,-22.7095213059,-1.90085503004
390660.0,0,24.0,18.4187159806,5.58128401935,1.55109385513,20.04,39.9133303029,-19.8733303029,-1.63131660855
390690.0,0,25.0,19.5166382322,5.48336176779,1.52456403098,17.8,37.4444341296,-19.6444341296,-1.60868821327
390720.0,0,27.0,20.67012305,6.32987695002,1.77216702811,20.8,34.8568686899,-14.0568686899,-1.08237962524
390750.0,0,28.0,21.8426938489,6.1573061511,1.7161068055,19.63,32.242623393,-12.612623393,-0.935951262407
390780.0,0,29.0,22.9956421001,6.00435789993,1.6673352517,20.01,29.6968323005,-9.68683230046,-0.655402458591
390810.0,0,29.0,24.0899573351,4.91004266488,1.3629526987,20.0,27.3127272755,-7.31272727548,-0.423126152267
390840.0,0,30.0,25.0883055473,4.91169445275,1.36347466562,18.57,25.176672461,-6.60667246099,-0.362888996348
390870.0,0,30.0,25.9569327922,4.04306720776,1.09126674084,18.56,23.3635946992,-4.80359469918,-0.196170427515
390900.0,0,31.0,26.6673752164,4.3326247836,1.17981540439,16.7,21.9330987614,-5.23309876142,-0.236196143776
390930.0,0,31.0,27.197869069,3.802130931,1.01778327663,16.69,20.9265112119,-4.23651121189,-0.142401595365
390960.0,0,31.0,27.5343736677,3.46562633231,0.917532419691,15.78,20.3650354254,-4.58503542538,-0.175786974929
390990.0,0,31.0,27.6711454736,3.32885452635,0.87813943314,15.77,20.249126862,-4.47912686196,-0.165622894504
391020.0,0,31.0,27.6108307003,3.38916929968,0.894962760781,14.6,20.559117133,-5.95911713295,-0.304619921679
391050.0,0,31.0,27.3640752552,3.63592474484,0.968105714502,14.6,21.2570331202,-6.65703312016,-0.36745234402
391080.0,0,31.0,26.9486821838,4.05131781619,1.09383529699,13.11,22.2894789917,-9.17947899171,-0.60350448641
391110.0,0,30.0,26.3883760385,3.61162396152,0.960946621427,13.87,23.5913796855,-9.72137968553,-0.658974221592
391140.0,0,30.0,25.7112587613,4.28874123871,1.16635171017,12.42,25.0903289722,-12.6703289722,-0.941585855653
391170.0,0,29.0,24.9480610704,4.0519389296,1.09402895245,13.15,26.7112472865,-13.5612472865,-1.03154604874
391200.0,0,29.0,24.1303056693,4.86969433068,1.35031621745,12.79,28.3810366593,-15.5910366593,-1.24066846588
391230.0,0,27.0,23.2885030529,3.71149694713,0.990693753464,14.37,30.0329234508,-15.6629234508,-1.24733894433
391260.0,0,25.0,22.4504969824,2.54950301762,0.673707218027,14.56,31.6102038978,-17.0502038978,-1.37715874636
391290.0,0,24.0,21.6400651228,2.35993487717,0.627010907402,16.39,33.0691510309,-16.6791510309,-1.34324729961
391320.0,0,23.0,20.8758616908,2.12413830915,0.563665175273,16.62,34.3809012838,-17.7609012838,-1.4368468167
391350.0,0,22.0,20.1707645451,1.82923545492,0.488809827147,17.67,35.532210975,-17.862210975,-1.44533090062
391380.0,0,21.0,19.5316606435,1.46833935648,0.387572399721,17.81,36.5250518731,-18.7150518731,-1.52102054709
391410.0,0,20.0,18.9596731539,1.04032684609,0.266631978042,18.94,37.3750958182,-18.4350958182,-1.4953212242
391440.0,0,19.0,18.4508028354,0.549197164584,0.130455793717,18.34,38.1092153596,-19.7692153596,-1.62095968375
391470.0,0,18.0,17.9969277108,0.00307228917164,-0.0259553639488,19.51,38.7621952825,-19.2521952825,-1.57129647952
391500.0,0,18.0,17.5870804752,0.412919524798,0.0900411695732,19.21,39.372904125,-20.162904125,-1.66108173823
391530.0,0,17.0,17.2089042151,-0.208904215124,-0.0849781890954,20.45,39.980211598,-19.530211598,-1.59756782628
391560.0,0,17.0,16.8501751288,0.149824871153,0.0150925233395,20.86,40.6189547286,-19.7589547286,-1.61994836573
391590.0,0,17.0,16.500276846,0.499723154029,0.115762559583,22.22,41.3162513928,-19.0962513928,-1.55702288045
391620.0,0,17.0,16.1515149172,0.848485082756,0.212155273216,23.07,42.0884349889,-19.0184349889,-1.55001740772
391650.0,0,16.0,15.8001717981,0.199828201941,0.0291684358969,23.07,42.9388400491,-19.8688400491,-1.63086631544
391680.0,0,16.0,15.4472213677,0.552778632331,0.131520505924,24.26,43.8566086111,-19.5966086111,-1.60400790099
391710.0,0,16.0,15.0986464168,0.901353583224,0.226408445581,25.85,44.8166153031,-18.9666153031,-1.54500251847
391740.0,0,16.0,14.7653309164,1.2346690836,0.322466108628,27.14,45.7805302636,-18.6405302636,-1.51408163812
391770.0,0,15.0,14.462529294,0.537470705968,0.126970736029,27.13,46.6989586434,-19.5689586434,-1.60131796284
391800.0,0,15.0,14.2089452921,0.791054707935,0.196720826938,28.25,47.5145190482,-19.2645190482,-1.57243820744
