Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
660.00	33.000	86.915	0.011505	3226.8	3606.5	6.3761	2.0321	3.0102	705.23	2.4800	37.765	0.11994	supercritical
661.00	33.000	86.762	0.011526	3229.1	3609.5	6.3794	2.0315	3.0068	705.81	2.4735	37.800	0.12004	supercritical
662.00	33.000	86.609	0.011546	3231.5	3612.5	6.3826	2.0310	3.0035	706.38	2.4669	37.835	0.12013	supercritical
663.00	33.000	86.458	0.011566	3233.8	3615.5	6.3858	2.0305	3.0001	706.95	2.4604	37.870	0.12022	supercritical
664.00	33.000	86.307	0.011587	3236.1	3618.5	6.3890	2.0300	2.9968	707.52	2.4539	37.905	0.12032	supercritical
665.00	33.000	86.157	0.011607	3238.5	3621.5	6.3922	2.0295	2.9936	708.09	2.4475	37.940	0.12041	supercritical
666.00	33.000	86.007	0.011627	3240.8	3624.5	6.3954	2.0290	2.9903	708.66	2.4410	37.975	0.12051	supercritical
667.00	33.000	85.859	0.011647	3243.1	3627.5	6.3986	2.0285	2.9871	709.22	2.4346	38.010	0.12060	supercritical
668.00	33.000	85.711	0.011667	3245.4	3630.5	6.4017	2.0280	2.9840	709.79	2.4282	38.045	0.12070	supercritical
669.00	33.000	85.563	0.011687	3247.8	3633.4	6.4049	2.0275	2.9808	710.35	2.4218	38.080	0.12079	supercritical
670.00	33.000	85.417	0.011707	3250.1	3636.4	6.4081	2.0271	2.9777	710.91	2.4154	38.115	0.12089	supercritical
671.00	33.000	85.271	0.011727	3252.4	3639.4	6.4112	2.0266	2.9747	711.47	2.4090	38.150	0.12099	supercritical
672.00	33.000	85.126	0.011747	3254.7	3642.4	6.4144	2.0262	2.9716	712.03	2.4027	38.185	0.12109	supercritical
673.00	33.000	84.981	0.011767	3257.0	3645.3	6.4175	2.0258	2.9686	712.59	2.3963	38.220	0.12118	supercritical
674.00	33.000	84.838	0.011787	3259.3	3648.3	6.4206	2.0253	2.9656	713.15	2.3900	38.255	0.12128	supercritical
675.00	33.000	84.694	0.011807	3261.6	3651.3	6.4238	2.0249	2.9627	713.70	2.3837	38.290	0.12138	supercritical
676.00	33.000	84.552	0.011827	3263.9	3654.2	6.4269	2.0245	2.9598	714.26	2.3775	38.325	0.12148	supercritical
677.00	33.000	84.410	0.011847	3266.2	3657.2	6.4300	2.0241	2.9569	714.81	2.3712	38.360	0.12158	supercritical
678.00	33.000	84.269	0.011867	3268.5	3660.1	6.4331	2.0237	2.9540	715.36	2.3650	38.395	0.12168	supercritical
679.00	33.000	84.129	0.011887	3270.8	3663.1	6.4362	2.0233	2.9512	715.91	2.3587	38.430	0.12178	supercritical
680.00	33.000	83.989	0.011906	3273.1	3666.1	6.4393	2.0229	2.9484	716.46	2.3525	38.465	0.12188	supercritical
681.00	33.000	83.850	0.011926	3275.4	3669.0	6.4424	2.0226	2.9456	717.01	2.3463	38.500	0.12199	supercritical
682.00	33.000	83.711	0.011946	3277.7	3671.9	6.4455	2.0222	2.9428	717.56	2.3402	38.535	0.12209	supercritical
683.00	33.000	83.573	0.011966	3280.0	3674.9	6.4486	2.0219	2.9401	718.10	2.3340	38.570	0.12219	supercritical
684.00	33.000	83.436	0.011985	3282.3	3677.8	6.4516	2.0215	2.9374	718.65	2.3279	38.605	0.12229	supercritical
685.00	33.000	83.300	0.012005	3284.6	3680.8	6.4547	2.0212	2.9348	719.19	2.3217	38.640	0.12240	supercritical
686.00	33.000	83.164	0.012024	3286.9	3683.7	6.4578	2.0209	2.9321	719.73	2.3156	38.675	0.12250	supercritical
687.00	33.000	83.028	0.012044	3289.2	3686.6	6.4608	2.0205	2.9295	720.27	2.3096	38.710	0.12260	supercritical
688.00	33.000	82.894	0.012064	3291.5	3689.6	6.4639	2.0202	2.9269	720.81	2.3035	38.745	0.12271	supercritical
