Normalised hour angle,RAVEN_sample_ID,Clearsky DNI_original,Clearsky DNI_fourier,Clearsky DNI_nofourier,Clearsky DNI_gaussianed
887.4151883999999,0,885.0,925.310129474,-40.3101294744,-0.715259484348
1536.018898,0,844.0,880.705312608,-36.7053126085,-0.673629335172
2184.6226070000002,0,759.0,824.57359356,-65.5735935597,-0.976823693975
2833.226316,0,581.0,628.293214551,-47.2932145512,-0.786824061151
3481.830025,0,94.0,129.635280721,-35.6352807206,-0.661496665364
-3011.4279469999997,0,477.0,532.175271854,-55.1752718542,-0.864494894854
-2361.048196,0,720.0,796.396050517,-76.3960505169,-1.10199472698
-1710.668441,0,836.0,862.869074954,-26.8690749536,-0.542936147951
-1060.2886859999999,0,900.0,917.070204192,-17.0702041919,-0.405668151824
-409.9089348,0,930.0,956.647501459,-26.6475014592,-0.53963855814
240.47082000000003,0,936.0,954.752102661,-18.7521026609,-0.427305567107
890.8505748,0,922.0,925.067473478,-3.06747347849,-0.215399485074
1541.2303259999999,0,882.0,880.080365666,1.91963433436,-0.140673529284
2191.610081,0,802.0,823.746270742,-21.7462707421,-0.468096664938
2841.989832,0,628.0,624.181573706,3.81842629437,-0.112037075979
3492.3695869999997,0,115.0,118.258549442,-3.2585494415,-0.218283905124
-3018.777358,0,589.0,527.584443806,61.4155561944,1.06166354931
-2366.6229719999997,0,806.0,795.092098152,10.9079018485,-0.00264555393656
-1714.468586,0,903.0,862.490489706,40.5095102941,0.563652067577
-1062.314201,0,955.0,916.9946953,38.0053047005,0.508033818298
-410.1598188,0,981.0,956.644353961,24.3556460387,0.225940161082
241.9945668,0,986.0,954.79750565,31.2024943496,0.358954196573
894.1489524,0,972.0,924.83664644,47.1633535596,0.714867439892
1546.3033380000002,0,936.0,879.470602342,56.5293976585,0.939283317307
2198.457724,0,861.0,822.909659812,38.0903401884,0.509973422061
2850.612106,0,698.0,620.089596551,77.9104034488,1.4884170248
3502.766491,0,0.0,106.965792569,-106.965792569,-1.49253676503
-3026.254993,0,628.0,522.856066385,105.143933615,2.01308266275
-2372.328025,0,838.0,793.737107751,44.2628922494,0.647536902937
-1718.401054,0,928.0,862.10222275,65.8977772498,1.17300368978
-1064.474082,0,972.0,916.914419757,55.0855802426,0.905701107161
-410.5471104,0,992.0,956.63945288,35.3605471197,0.448608738599
243.37986119999997,0,994.0,954.838623736,39.1613762635,0.534494442415
897.3068292000002,0,978.0,924.617637524,53.3823624756,0.865265665557
1551.233801,0,940.0,878.876868956,61.1231310442,1.05400993976
2205.1607719999997,0,864.0,822.065415744,41.9345842559,0.595004476749
2859.087744,0,699.0,616.020872186,82.9791278139,1.59803215241
3513.0147159999997,0,0.0,95.7681260668,-95.7681260668,-1.36488296523
-3033.860249,0,632.0,517.986830851,114.013169149,2.15908882156
-2378.163409,0,842.0,792.329757096,49.6702429038,0.773376656538
-1722.466566,0,931.0,861.704610448,69.2953895516,1.26554863531
