Date,Time,Clearsky DNI,Hour angle,Sunrise hour angle,Sunset hour angle,Normalised hour angle
2018-01-10 21:30:00-07:00,14250,0,135.7953804,-75.25746397,77.45181744,1.778482345
2018-01-10 22:30:00-07:00,14310,0,150.7953804,-75.25746397,77.45181744,1.974934058
2018-01-10 23:30:00-07:00,14370,0,165.7953804,-75.25746397,77.45181744,2.171385772
2018-01-11 00:30:00-07:00,14430,0,-179.2046196,-75.27357685,77.66518142,-2.343482079
2018-01-11 01:30:00-07:00,14490,0,-164.2046196,-75.27357685,77.66518142,-2.147325131
2018-01-11 02:30:00-07:00,14550,0,-149.2046196,-75.27357685,77.66518142,-1.951168184
2018-01-11 03:30:00-07:00,14610,0,-134.2046196,-75.27357685,77.66518142,-1.755011236
2018-01-11 04:30:00-07:00,14670,0,-119.2046196,-75.27357685,77.66518142,-1.558854288
2018-01-11 05:30:00-07:00,14730,0,-104.2046196,-75.27357685,77.66518142,-1.362697341
2018-01-11 06:30:00-07:00,14790,0,-89.20461958,-75.27357685,77.66518142,-1.166540393
2018-01-11 07:30:00-07:00,14850,0,-74.20461958,-75.27357685,77.66518142,-0.970383445
2018-01-11 08:30:00-07:00,14910,641,-59.20461958,-75.27357685,77.66518142,-0.774226498
2018-01-11 09:30:00-07:00,14970,821,-44.20461958,-75.27357685,77.66518142,-0.57806955
2018-01-11 10:30:00-07:00,15030,905,-29.20461958,-75.27357685,77.66518142,-0.381912602
2018-01-11 11:30:00-07:00,15090,947,-14.20461958,-75.27357685,77.66518142,-0.185755655
2018-01-11 12:30:00-07:00,15150,964,0.795380417,-75.27357685,77.66518142,0.010401293
2018-01-11 13:30:00-07:00,15210,957,15.79538042,-75.27357685,77.66518142,0.206558241
2018-01-11 14:30:00-07:00,15270,912,30.79538042,-75.27357685,77.66518142,0.402715188
2018-01-11 15:30:00-07:00,15330,835,45.79538042,-75.27357685,77.66518142,0.598872136
2018-01-11 16:30:00-07:00,15390,666,60.79538042,-75.27357685,77.66518142,0.795029084
2018-01-11 17:30:00-07:00,15450,0,75.79538042,-75.27357685,77.66518142,0.991186031
2018-01-11 18:30:00-07:00,15510,0,90.79538042,-75.27357685,77.66518142,1.187342979
2018-01-11 19:30:00-07:00,15570,0,105.7953804,-75.27357685,77.66518142,1.383499927
2018-01-11 20:30:00-07:00,15630,0,120.7953804,-75.27357685,77.66518142,1.579656874
2018-01-11 21:30:00-07:00,15690,0,135.7953804,-75.27357685,77.66518142,1.775813822
2018-01-11 22:30:00-07:00,15750,0,150.7953804,-75.27357685,77.66518142,1.97197077
