time,process,process_on,process_status,w_dot_gen_kWe,elec_sold_kWe,price_elec,m_dot_hpt,m_dot_extract,hot_TES_inventory,cold_TES_inventory,v_dot_in_m3hr,capacity_m3day
42,ED,0,OFF,0.0,0.0,-0.057430190000000006,33.164338299554004,11.975229788678027,377246242.8514389,2977.330761616441,0.0,0.0
42,CRY,0,OFF,0.0,0.0,-0.057430190000000006,33.164338299554004,11.975229788678027,377246242.8514389,2977.330761616441,0.0,0.0
43,RO,0,OFF,0.0,0.0,-0.05103967,33.164335456068,11.97521335455197,386228295.16960466,3048.2212959298818,0.0,0.0
43,MED,0,OFF,0.0,0.0,-0.05103967,33.164335456068,11.97521335455197,386228295.16960466,3048.2212959298818,0.0,0.0
43,ED,0,OFF,0.0,0.0,-0.05103967,33.164335456068,11.97521335455197,386228295.16960466,3048.2212959298818,0.0,0.0
43,CRY,0,OFF,0.0,0.0,-0.05103967,33.164335456068,11.97521335455197,386228295.16960466,3048.2212959298818,0.0,0.0
44,RO,0,OFF,0.0,0.0,-0.047070839999999996,33.164333128768554,11.975199903762112,395210347.5383016,3119.1117506177116,0.0,0.0
44,MED,0,OFF,0.0,0.0,-0.047070839999999996,33.164333128768554,11.975199903762112,395210347.5383016,3119.1117506177116,0.0,0.0
44,ED,0,OFF,0.0,0.0,-0.047070839999999996,33.164333128768554,11.975199903762112,395210347.5383016,3119.1117506177116,0.0,0.0
44,CRY,0,OFF,0.0,0.0,-0.047070839999999996,33.164333128768554,11.975199903762112,395210347.5383016,3119.1117506177116,0.0,0.0
45,RO,0,OFF,0.0,0.0,-0.04595245,33.16433238149005,11.975195584813783,404192399.9232237,3190.0021797383515,0.0,0.0
45,MED,0,OFF,0.0,0.0,-0.04595245,33.16433238149005,11.975195584813783,404192399.9232237,3190.0021797383515,0.0,0.0
45,ED,0,OFF,0.0,0.0,-0.04595245,33.16433238149005,11.975195584813783,404192399.9232237,3190.0021797383515,0.0,0.0
45,CRY,0,OFF,0.0,0.0,-0.04595245,33.16433238149005,11.975195584813783,404192399.9232237,3190.0021797383515,0.0,0.0
46,RO,0,OFF,0.0,0.0,-0.04210764,33.16432936143218,11.975178130178199,413174452.37371826,3260.8925055315262,0.0,0.0
46,MED,0,OFF,0.0,0.0,-0.04210764,33.16432936143218,11.975178130178199,413174452.37371826,3260.8925055315262,0.0,0.0
46,ED,0,OFF,0.0,0.0,-0.04210764,33.16432936143218,11.975178130178199,413174452.37371826,3260.8925055315262,0.0,0.0
46,CRY,0,OFF,0.0,0.0,-0.04210764,33.16432936143218,11.975178130178199,413174452.37371826,3260.8925055315262,0.0,0.0
47,RO,0,OFF,0.0,0.0,-0.03888187,33.1643262340369,11.975160055178655,422156504.89211595,3331.782724324822,0.0,0.0
47,MED,0,OFF,0.0,0.0,-0.03888187,33.1643262340369,11.975160055178655,422156504.89211595,3331.782724324822,0.0,0.0
47,ED,0,OFF,0.0,0.0,-0.03888187,33.1643262340369,11.975160055178655,422156504.89211595,3331.782724324822,0.0,0.0
47,CRY,0,OFF,0.0,0.0,-0.03888187,33.1643262340369,11.975160055178655,422156504.89211595,3331.782724324822,0.0,0.0
48,RO,0,OFF,0.0,0.0,-0.03626957,33.16432307973942,11.975141824695896,431138557.47900075,3402.672835197814,0.0,0.0
48,MED,0,OFF,0.0,0.0,-0.03626957,33.16432307973942,11.975141824695896,431138557.47900075,3402.672835197814,0.0,0.0
48,ED,0,OFF,0.0,0.0,-0.03626957,33.16432307973942,11.975141824695896,431138557.47900075,3402.672835197814,0.0,0.0
48,CRY,0,OFF,0.0,0.0,-0.03626957,33.16432307973942,11.975141824695896,431138557.47900075,3402.672835197814,0.0,0.0
49,RO,0,OFF,0.0,0.0,-0.03198964,33.16431624271361,11.975102309627358,440120610.2143334,3473.5627121506045,0.0,0.0
49,MED,0,OFF,0.0,0.0,-0.03198964,33.16431624271361,11.975102309627358,440120610.2143334,3473.5627121506045,0.0,0.0
49,ED,0,OFF,0.0,0.0,-0.03198964,33.16431624271361,11.975102309627358,440120610.2143334,3473.5627121506045,0.0,0.0
49,CRY,0,OFF,0.0,0.0,-0.03198964,33.16431624271361,11.975102309627358,440120610.2143334,3473.5627121506045,0.0,0.0
50,RO,0,OFF,0.0,0.0,-0.031907450000000004,33.16431614901023,11.975101768062155,449102662.95170057,3544.4525858974525,0.0,0.0
50,MED,0,OFF,0.0,0.0,-0.031907450000000004,33.16431614901023,11.975101768062155,449102662.95170057,3544.4525858974525,0.0,0.0
50,ED,0,OFF,0.0,0.0,-0.031907450000000004,33.16431614901023,11.975101768062155,449102662.95170057,3544.4525858974525,0.0,0.0
50,CRY,0,OFF,0.0,0.0,-0.031907450000000004,33.16431614901023,11.975101768062155,449102662.95170057,3544.4525858974525,0.0,0.0
