"Time stamp","System power generated | (kW)","TES charge state | (MWht)","PPA price multiplier"
"Jan 17, 10:00 pm",117143,596.381,1.47359
"Jan 17, 11:00 pm",117130,361.844,1.40741
"Jan 18, 12:00 am",117111,127.459,1.32195
"Jan 18, 01:00 am",68547.3,0,1.23144
"Jan 18, 02:00 am",-607.2,0,1.1535
"Jan 18, 03:00 am",-607.2,0,1.12383
"Jan 18, 04:00 am",-607.2,0,1.12934
"Jan 18, 05:00 am",-607.2,0,1.20255
"Jan 18, 06:00 am",-607.2,0,1.33157
"Jan 18, 07:00 am",-607.2,0,1.64106
"Jan 18, 08:00 am",-4560.27,0,1.58914
"Jan 18, 09:00 am",77528,197.435,1.07891
"Jan 18, 10:00 am",106930,512.701,0.912362
"Jan 18, 11:00 am",106303,842.513,0.790951
"Jan 18, 12:00 pm",105421,1192.44,0.840913
"Jan 18, 01:00 pm",105480,1533.15,0.72094
"Jan 18, 02:00 pm",106613,1839.28,0.808368
"Jan 18, 03:00 pm",109270,2053.86,0.884078
"Jan 18, 04:00 pm",112555,2087.93,1.22387
"Jan 18, 05:00 pm",116807,1853.08,1.44007
"Jan 18, 06:00 pm",117118,1618.24,1.89631
"Jan 18, 07:00 pm",117175,1383.42,1.78271
"Jan 18, 08:00 pm",117200,1148.62,1.63534
"Jan 18, 09:00 pm",117224,913.854,1.55648
"Jan 18, 10:00 pm",117226,679.134,1.3796
"Jan 18, 11:00 pm",117217,444.483,1.38638
"Jan 19, 12:00 am",117205,209.952,1.32116
"Jan 19, 01:00 am",107123,0,1.19503
"Jan 19, 02:00 am",-607.2,0,1.19108
"Jan 19, 03:00 am",-607.2,0,1.14998
"Jan 19, 04:00 am",-607.2,0,1.15094
"Jan 19, 05:00 am",-607.2,0,1.23278
"Jan 19, 06:00 am",-607.2,0,1.26834
"Jan 19, 07:00 am",-607.2,0,1.31407
"Jan 19, 08:00 am",-4426.46,0,1.18507
"Jan 19, 09:00 am",70883.5,183.936,0.968387
"Jan 19, 10:00 am",107079,488.402,0.87704
"Jan 19, 11:00 am",105889,824.602,0.684098
"Jan 19, 12:00 pm",104825,1183.23,0.652089
"Jan 19, 01:00 pm",104799,1533.99,0.534006
"Jan 19, 02:00 pm",105566,1862.77,0.542513
"Jan 19, 03:00 pm",108362,2104.72,0.690098
"Jan 19, 04:00 pm",112205,2168.49,0.96118
"Jan 19, 05:00 pm",116819,1933.62,1.2896
"Jan 19, 06:00 pm",117130,1698.77,1.52165
"Jan 19, 07:00 pm",117126,1463.93,1.51828
"Jan 19, 08:00 pm",117182,1229.11,1.4032
"Jan 19, 09:00 pm",117206,994.322,1.3549
"Jan 19, 10:00 pm",117229,759.573,1.28436
"Jan 19, 11:00 pm",117230,524.881,1.28579
"Jan 20, 12:00 am",117220,290.288,1.21887
"Jan 20, 01:00 am",117204,55.8879,1.23301
"Jan 20, 02:00 am",29394.6,0,1.1664
"Jan 20, 03:00 am",-607.2,0,1.12133
"Jan 20, 04:00 am",-607.2,0,1.14546
"Jan 20, 05:00 am",-607.2,0,1.15394
"Jan 20, 06:00 am",-607.2,0,1.18249
"Jan 20, 07:00 am",-607.2,0,1.29298
"Jan 20, 08:00 am",-4605.12,0,1.17638
"Jan 20, 09:00 am",79007.2,198.687,1.09485
"Jan 20, 10:00 am",106872,510.044,0.95725
"Jan 20, 11:00 am",105637,845.59,0.879797
"Jan 20, 12:00 pm",104790,1196.43,0.665047
"Jan 20, 01:00 pm",104873,1536,0.636564
"Jan 20, 02:00 pm",105327,1862.24,0.641053
"Jan 20, 03:00 pm",108138,2100,0.845658
"Jan 20, 04:00 pm",112027,2162.02,1.08245
"Jan 20, 05:00 pm",116717,1927.16,1.23219
"Jan 20, 06:00 pm",117028,1692.3,1.47936
"Jan 20, 07:00 pm",117024,1457.46,1.5034
"Jan 20, 08:00 pm",117123,1222.64,1.47154
"Jan 20, 09:00 pm",117178,987.856,1.31752
"Jan 20, 10:00 pm",117202,753.107,1.20297
"Jan 20, 11:00 pm",117223,518.416,1.1185
"Jan 21, 12:00 am",117222,283.824,1.08592
"Jan 21, 01:00 am",117206,49.43,1.00893
"Jan 21, 02:00 am",25918.7,0,0.979653
"Jan 21, 03:00 am",-607.2,0,0.948182
"Jan 21, 04:00 am",-607.2,0,0.997557
"Jan 21, 05:00 am",-607.2,0,1.00965
"Jan 21, 06:00 am",-607.2,0,1.22765
"Jan 21, 07:00 am",-607.2,0,1.35306
"Jan 21, 08:00 am",-607.2,0,1.33533
"Jan 21, 09:00 am",-607.2,0,1.07802
"Jan 21, 10:00 am",-2626.57,0,0.811898
"Jan 21, 11:00 am",-818.16,0,0.416144
"Jan 21, 12:00 pm",-607.2,0,0.247248
"Jan 21, 01:00 pm",-607.2,0,0.153104
"Jan 21, 02:00 pm",-4768,0.000643845,0.16777
"Jan 21, 03:00 pm",84990.8,154.519,0.33969
"Jan 21, 04:00 pm",112758,129.538,0.940901
"Jan 21, 05:00 pm",69710.3,0,1.26298
"Jan 21, 06:00 pm",-607.2,0,1.63647
"Jan 21, 07:00 pm",-607.2,0,1.7696
"Jan 21, 08:00 pm",-607.2,0,1.602
"Jan 21, 09:00 pm",-607.2,0,1.4926
"Jan 21, 10:00 pm",-607.2,0,1.37606
"Jan 21, 11:00 pm",-607.2,0,1.27256
"Jan 22, 12:00 am",-607.2,0,1.15262
"Jan 22, 01:00 am",-607.2,0,1.12199
"Jan 22, 02:00 am",-607.2,0,1.05663
