,Efficiency
1587,1.1089
1588,1.11034
1589,1.11034
1590,1.11142
1591,1.11178
1592,1.11106
1593,1.11106
1594,1.11142
1595,1.11178
1596,1.1125
1597,1.11358
1598,1.11322
1599,1.10854
1600,1.10422
1601,1.10062
1602,1.0981
1603,1.0963
1604,1.09594
1605,1.09594
1606,1.09666
1607,1.0981
1608,1.10098
1609,1.1053
1610,1.10962
1611,1.1107
1612,1.11178
1613,1.1125
1614,1.11286
1615,1.11214
1616,1.11106
1617,1.1107
1618,1.1107
1619,1.11106
1620,1.11178
1621,1.11214
1622,1.1125
1623,1.10962
1624,1.10638
1625,1.10278
1626,1.10062
1627,1.10026
1628,1.10134
1629,1.10134
1630,1.1017
1631,1.10242
1632,1.10422
1633,1.10674
1634,1.10782
1635,1.10746
1636,1.10746
1637,1.10854
1638,1.10962
1639,1.1107
1640,1.11034
1641,1.10962
1642,1.11034
1643,1.11178
1644,1.11214
1645,1.1125
1646,1.1125
1647,1.11106
1648,1.1107
1649,1.11034
1650,1.10962
1651,1.10854
1652,1.10854
1653,1.10854
1654,1.10962
1655,1.11142
1656,1.11322
1657,1.11502
1658,1.11646
1659,1.11718
1660,1.11754
1661,1.1179000000000001
1662,1.1179000000000001
1663,1.11862
1664,1.11862
1665,1.11898
1666,1.11934
1667,1.1197
1668,1.12006
1669,1.12042
1670,1.12042
1671,1.11898
1672,1.11754
1673,1.11538
1674,1.11286
1675,1.1107
1676,1.1089
1677,1.10782
1678,1.10746
1679,1.10746
1680,1.10782
1681,1.10962
1682,1.11142
1683,1.11214
1684,1.11286
1685,1.11322
1686,1.11394
1687,1.11466
1688,1.11574
1689,1.11682
1690,1.1179000000000001
1691,1.11862
1692,1.11862
1693,1.11862
1694,1.11754
1695,1.11286
1696,1.10926
1697,1.10638
1698,1.10422
1699,1.10242
1700,1.10098
1701,1.10026
1702,1.0999
1703,1.0999
1704,1.10098
1705,1.10422
1706,1.10854
1707,1.11034
1708,1.11178
1709,1.1125
1710,1.1125
1711,1.11214
1712,1.11178
1713,1.11178
1714,1.11142
1715,1.11142
1716,1.11142
1717,1.1125
1718,1.11322
1719,1.11286
1720,1.10998
1721,1.10566
1722,1.10134
1723,1.09774
1724,1.09486
1725,1.0941400000000001
1726,1.0945
1727,1.0963
1728,1.09918
1729,1.10494
1730,1.1107
1731,1.11286
1732,1.11394
1733,1.11574
1734,1.11718
1735,1.11826
1736,1.11862
1737,1.11934
1738,1.1197
1739,1.12042
1740,1.12078
1741,1.12114
1742,1.1197
1743,1.11466
1744,1.10926
1745,1.10386
1746,1.10098
1747,1.09954
1748,1.09882
1749,1.09918
1750,1.10098
1751,1.10314
1752,1.1053
1753,1.1071
1754,1.10854
1755,1.10854
1756,1.1089
1757,1.1089
1758,1.10818
1759,1.10782
1760,1.10818
1761,1.10962
1762,1.11214
1763,1.11538
1764,1.11826
1765,1.12006
1766,1.11934
1767,1.11538
1768,1.11286
1769,1.1107
1770,1.1089
1771,1.10746
1772,1.1071
1773,1.10854
1774,1.10926
1775,1.10962
1776,1.1107
1777,1.11286
1778,1.11538
1779,1.11682
1780,1.11826
1781,1.11898
1782,1.12006
1783,1.12078
1784,1.1215
1785,1.1215
1786,1.12114
1787,1.12078
1788,1.12078
1789,1.12078
1790,1.12006
1791,1.11718
1792,1.11178
1793,1.10638
1794,1.10278
1795,1.0999
1796,1.09774
1797,1.09702
1798,1.09702
1799,1.09774
1800,1.0999
1801,1.10458
1802,1.1107
1803,1.11286
1804,1.11322
1805,1.11358
1806,1.11322
1807,1.11322
1808,1.11358
1809,1.11322
1810,1.11322
1811,1.11322
1812,1.11358
1813,1.11466
1814,1.11466
1815,1.11142
1816,1.10674
1817,1.10206
1818,1.0981
1819,1.09594
1820,1.09558
1821,1.09738
1822,1.09918
1823,1.10134
1824,1.10386
1825,1.10638
1826,1.1089
1827,1.10926
1828,1.10998
1829,1.1107
1830,1.11142
1831,1.11214
1832,1.11214
1833,1.11142
1834,1.1107
1835,1.1107
1836,1.11106
1837,1.11106
1838,1.10998
1839,1.10602
1840,1.10242
1841,1.09846
1842,1.0941400000000001
1843,1.09234
1844,1.09198
1845,1.09198
1846,1.0927
1847,1.0941400000000001
1848,1.0963
1849,1.09918
